A_id,Size,Weight,Sweetness,Crunchiness,Juiciness,Ripeness,Acidity,Quality
117,77.2497596254,228.1808352864,12.4979192602,7.9662320135,69.0927402682,5.2405622516,4.1338205646,bad
118,74.2807447616,232.4772293712,12.6590241808,7.1046235845,71.3902263484,4.6273298267,3.0545071118,good
119,78.8752245765,225.8101567568,12.3559126294,7.557340517,68.4781752778,5.526427415,,bad
120,72.7118389041,228.6579270432,13.8477159898,8.1256338255,69.7937674312,5.2839686243,3.932263828,bad
121,78.5248305114,229.8131252704,11.912145025600001,7.6207749165,69.6532429666,5.39776361,3.6448039864,bad
122,73.9144846306,228.6402764896,12.3362757046,7.2369096625000005,69.985935709,5.7068861036000005,3.2818504158,bad
123,81.3217012541,227.3295043488,12.1347248914,8.094521839,68.3397667846,5.2292151023,,bad
124,80.1704440619,226.4000161424,11.3958278092,8.381107027,70.0215817366,4.7289209567,3.3087732442,good
125,75.7646989002,228.2443906288,15.1539529894,7.0701108315,70.9378708516,4.9514245466,3.3329695906000003,good
126,,229.923677816,13.1504177614,7.3858025245,71.3458001116,4.7937239828,4.2757713078,bad
127,72.9404921146,230.0042265152,14.010187639,7.0470197305,71.9154610108,4.6958612309,4.487217596,bad
128,75.3362364856,229.3816486544,12.3559091416,7.4570257515,71.1552411208,5.7314001389,3.6677827468,bad
129,77.7905927558,227.7328872352,13.2640677682,8.326972196,69.9425930308,4.714866731,4.2291745768,bad
130,73.4950408548,227.0639839024,13.476939448,6.721171277,72.7637407186,5.0532748001,4.3532025294,bad
131,83.313354558,232.6123659392,12.2324215126,8.3793994915,68.5478716564,4.9355203574,4.0128236434,good
132,75.6916871499,228.4070269296,14.3528069332,6.689623768,69.5363151862,5.4008752673,3.5358902252,good
133,88.3994856898,225.9237258544,11.9462285002,7.4509050825,69.752295106,5.5961496308,3.9227059626000003,good
134,80.2516650643,225.1393975744,11.5212775492,7.8096149595,70.1800722064,5.6331652352,2.9183765150000003,bad
135,82.8163489575,229.8285466688,12.5519859676,6.7191163455,71.7980100928,4.7277565166,4.0576806504,good
136,80.0374688626,229.0540381904,11.9564584162,7.0006041395,70.4170315354,4.9944640187,3.8614529818000003,bad
137,80.5013041035,225.3659652512,12.9054313144,6.9076903725,68.2906616482,5.121397862,2.991565922,bad
138,78.4401210045,231.4951119392,12.1983096772,,70.3795088914,5.4262790657,4.0869508088,good
139,80.0590027748,230.9009332784,13.2284667322,7.6543611575,70.1902660972,5.1306646688,25.722572188472036,good
140,82.0829827186,225.9816988064,11.0696756296,7.9784527315,69.0985915426,5.8678442576,3.4107982568,bad
141,75.24124366,225.026794944,12.3168270388,7.5010917685,68.6762722264,5.543486147,2.8614438732,bad
142,82.3930273178,229.1073633728,11.4527360968,6.7555148565,71.548731349,4.9302184652,3.6978933338,bad
143,77.9447416995,229.7944862912,13.0557469372,8.117642495,69.6694344874,5.0900804657,3.7277646242,bad
144,77.8769001247,227.7930796272,12.2353428628,7.2420683285,70.8873290332,5.4117528464,3.9442778114,bad
145,73.2169619012,227.5077248928,13.2387325594,7.143607667,72.5589763174,5.3139235598,4.442791542,bad
146,82.5622715848,225.7931066416,13.413288745,9.289839571,72.2763639682,5.0535841019,3.5171000466,good
147,77.0949887908,226.4707743696,14.389331287,7.672784686,72.1867169524,4.9107612011,3.1226141344,good
148,82.7745869309,233.0275810896,12.1472872624,6.7892918255,70.3084692382,5.0694713765,4.277503468,good
149,601.7776056626939,227.6866068288,12.2913719452,8.300731662,71.6963750914,5.5198291799,3.9200175980000003,good
150,82.2563415572,224.4180189136,12.9850110766,7.528175661,71.3003445964,4.577645393,3.8382261666,good
151,,229.09923192,11.7228328366,8.0525497985,67.6179420508,5.1928490099,3.5462091386,bad
152,80.3650221689,232.1809500256,12.93710395,55.88352454599191,69.6042255148,5.8211470919,3.5624558576000003,good
153,72.7653864616,230.3491079392,13.886145076,6.9921689375,71.8846671274,5.0649045086,4.2267456304,bad
154,76.7947839192,226.4723532912,13.3126447966,7.350304356,68.8598218336,5.1624408293,3.1640634764,bad
155,72.5548652,229.5367699904,14.6068439116,6.350801887,70.4600530378,5.1080348315,3.158796583,good
156,83.7047460745,228.751023264,11.1193196764,7.0579734505,70.2511069054,4.4810141705,3.8756276164,bad
157,76.4361093995,228.232683,13.064160853,8.4041797105,68.680792687,5.545887596,3.6199629354000002,bad
158,80.8951824274,226.9933158272,10.6329348556,7.228910981,71.0962268056,5.8779542036,3.6303489684,bad
159,80.0158446966,229.5867055344,12.6465865696,8.1082793005,71.408444263,4.8680816561,2.6404722294000003,good
160,74.2547372918,228.6437527136,10.6441125166,7.3153212435,67.9643752612,6.2126803226,3.4478275082,bad
161,86.1881309931,231.5618304608,12.7579935994,10.14893665,67.4300332258,3.2406203246,4.2998528196,bad
162,81.141816742,227.9125106432,13.4712022846,7.88567761,70.6743037948,5.4241360796,33.41486313198553,good
163,82.5857658258,228.448503888,11.2753109158,7.452527888,69.9208545784,5.0407718702,3.9224176464,bad
164,77.4577597124,229.337545192,12.3766073224,8.096993991,70.2035429782,5.6165866742,3.5519956148,bad
165,79.3376129788,232.9378471536,12.8852662378,8.7746908975,69.4899095866,3.9044343722,,bad
166,583.4874709876898,226.6119500064,12.566605291,8.019251662,69.0695762002,5.736592934,3.1882530628,bad
167,81.2319648279,229.0432675408,12.790869025,7.6028267435,70.4115199036,5.6096754017,3.1574104014,good
168,84.207262188,229.9530777856,12.0140133286,8.6876839545,69.8134408486,4.7800004996,3.8020598124,good
169,75.8849623585,226.517681048,14.3801044354,6.7242563385,69.4583643286,5.828790623,3.1937643266,good
170,81.6962069709,225.8875839104,13.4118416674,8.1010045675,69.8004473842,4.447689569,3.8805940976,good
171,75.0050838041,226.718111112,12.2543446444,7.0141594255,69.715411456,5.4020175542,4.0516475914,bad
172,79.7610702994,230.0394314688,13.0019534854,7.7284872315,69.8926588768,5.6251322008999995,3.5736472904000003,good
173,78.5085354711,225.8964886368,11.2983028258,7.8145909615,69.4923981364,6.6644414744,3.1642019564,bad
174,80.5096363369,228.1485644336,14.543181577,6.835207692,69.2547509974,5.6678750426,4.208326202,good
175,74.2895685041,229.2202932304,14.344110556,6.523595439,71.1580584502,4.9242038147,,bad
176,83.199368979,226.4125003024,14.3476343224,7.6781122935,69.2486639758,4.4838444476,3.4077992872,bad
177,77.9474741864,231.9914537184,13.729040368,59.01462581940893,69.9626160412,4.9168766084,3.2045998352,good
178,74.1573504111,227.5736039808,11.998835587,7.08595357,70.662145717,6.0134684447,3.5996812084000003,bad
179,602.7424335341484,225.7793295136,13.1915518744,8.311227539,71.5307213614,5.3565330197,3.39735281,good
180,84.1443561292,226.3505599488,13.2830182468,8.496366397,69.4052865688,5.7853280381,4.1121606702,good
181,76.9250173976,225.3660370976,14.979748933,7.705958162,70.8158853952,5.2701039995,3.6315958386,good
182,75.1445175689,229.1726638,12.4409359942,6.458232089,70.3830183892,5.9897213306,3.3726243618000002,bad
183,75.3331730358,227.918930568,14.14223413,6.8354238575,70.3844070046,5.0975218781,3.0863396616000003,good
184,526.077935422023,228.6971098496,12.7110142834,,70.8087333394,6.1318540652,3.9903411372,bad
185,79.4165606806,227.5188878848,10.140790252,6.175555749,72.8522576374,5.7809118251000005,4.1195380894,bad
186,76.915160209,232.6674410784,12.3972329188,6.9131004905,68.6338528114,5.274268112,4.0113279394,bad
187,74.7877217388,228.0575316032,11.8064471368,6.674851163,69.7028898796,6.1547506763,3.2268334584000002,bad
188,,227.4139237696,14.5755691048,7.0977752775,71.4541725046,4.9415063612,2.8118440474,good
189,74.8986369292,227.8007133584,13.6085514034,6.958090261,70.996982149,5.8442356832,3.4469999376000002,bad
190,79.17727830769999,227.6419778112,13.6374034222,7.494469348,70.1317267012,5.6355142121,3.7849424448,good
191,85.5564150601,228.5147986208,10.202115988,6.726000654,71.6381133478,5.5694484782,3.5525472398,good
192,76.7482636979,230.9932541712,12.5598450994,6.824291792,69.3428734828,5.5262468066,3.7719546812,bad
193,75.9471075528,228.8164996752,12.5507279308,7.2373439735,71.0631169384,5.3771469965,3.6520577306,bad
194,74.4185239874,228.867539464,13.6670607712,7.3486503675,70.594919797,5.1165512681,3.7697846278,bad
195,82.471882102,227.9430512304,13.2660729172,7.6082305535,70.2466915696,3.9354377924,4.4339496332,bad
196,584.904477322538,,12.9991011994,6.8078481495,69.3508008064,5.7033477431,3.5012042774000003,good
197,76.8190580494,230.6343632448,13.645526929,7.5464211785,70.8304513288,4.9401333545,3.5191186648,bad
198,76.6237525559,226.9967598528,12.5811853396,6.8767619995,71.4855613048,5.02456523,4.602262093,bad
199,72.4438193428,226.99716132,12.9377764768,7.741126877,69.7501560616,5.5295842756999996,4.1437958578,bad
200,,227.624721784,11.9903191498,6.872086864,71.1329780392,5.4108683999,3.9280395842,bad
201,71.6592575431,230.2969221424,14.3965024768,7.474690293,71.3247106324,5.0864013815,4.3523269464,bad
202,82.096930687,225.1741709536,14.2114772596,7.8732053109999995,71.6569974544,4.0093958369000005,4.1749111812,good
203,74.60234259960001,,11.1217292686,6.9075721695,69.9714240052,6.2172245288,3.5685738644000002,bad
204,80.4510712252,228.8101886688,14.1356699044,7.6830034065,70.759270858,5.3071944518,3.8190020536000002,good
205,597.8686398806784,226.7707403632,12.044417359,71.66986678920195,69.1107535882,5.259005978,3.2578113668,bad
206,71.776889946,228.6069129952,12.8470937962,7.1787343515,71.9965571062,5.7451028318,3.9591985342,bad
207,88.53284380939999,229.4728394112,12.2355830884,8.5796446715,72.6704410714,4.3593285968,3.6537808252,good
208,81.7953981353,224.6856146944,14.7807508684,7.0390993455,69.4207260082,5.7945309011,3.4994472706,good
209,78.173363522,227.9831611408,11.051863558600001,,69.8537372446,6.27277169,3.169330144,bad
210,78.7387424541,228.717668472,13.0147462054,8.763116506,71.069041366,5.3030171963,3.78778214,good
211,595.5783222499401,227.880583848,11.9305500232,6.826858731,69.4373490592,5.2591554278,3.032952945,bad
212,84.4650047937,223.6508177744,12.3388623052,5.73786784,70.9577109238,5.5358886323,4.0283676746,good
213,78.8749396696,229.9003015776,12.6861668212,8.068717935,71.8454823646,4.8958174559,2.9908643264,good
214,77.864848362,227.3397945504,15.0328949368,,71.0797292968,4.4014586546,3.303130503,bad
215,84.9626262279,228.5247052224,11.6818622374,8.766605108,69.4472331328,4.9953704003,3.9235778218000004,good
216,79.1282080375,228.5014005808,12.5183453836,7.779774868,70.100599468,5.5751364695,3.5302216878,good
217,82.9766652974,231.3896948912,12.9734359252,6.641678541,71.0611255978,4.7381655935,4.1369440896,good
218,80.1880524639,227.5454981456,12.757672714,76.8967429350958,70.082805826,4.2367438304,3.656041312,good
219,79.4849665212,225.974635448,14.4057506332,7.349982673,70.2140293666,5.5825681649,3.2694015954,good
220,80.5808587489,229.2294477648,12.9311458294,8.090987757,72.3277415302,3.8973309755,3.9524891760000003,good
221,83.3433277458,232.7004072704,12.073539418,6.05277454,69.514821565,5.4248705795,3.7675999208,good
222,81.0385701929,2144.5117006796577,12.388347715,8.274431299,70.3418591128,4.5307638938,3.9827329226000003,good
223,79.0287887724,227.3639059152,14.2421101534,5.4363299115,72.0682847686,4.2692830196000005,3.8364893752,good
224,81.187194347,228.7410783152,13.5446399488,6.8248714815,70.3921440292,4.5558645755,4.1138730402,good
225,76.1959347847,225.7986875552,12.454720789,6.109912389,70.7182291618,6.1035777101,22.277283914963302,bad
226,81.1118948618,227.6313611296,12.0817409662,7.79626583,70.1327743,4.9860121226,3.9017774324000003,bad
227,77.9995319862,224.7344094864,10.5662193298,6.645461807,67.8409646788,5.6287791944,2.307802148,bad
228,76.6101169988,228.237469512,13.4221513906,9.0953224515,71.7763231504,5.0043105326,3.8268669220000002,good
229,77.6358359831,230.3968319232,12.86166547,7.833840498,68.3090098972,4.4103979331,3.55095065,bad
230,77.5560682223,231.7686728336,11.105843899,7.986928799,70.1338043932,5.4328138313,3.7628586722,bad
231,75.0221251701,226.4444643808,14.926097281,8.599113427,72.4030819672,4.7390319848,3.4739678852,good
232,79.9064943709,230.0099583568,12.6614022784,7.7695344675,71.4109327588,4.2465981797,3.88261855,good
233,82.466762628,229.4667751824,11.8881617704,6.9722987625,72.2490058042,4.6619425625,3.5027481886,bad
234,77.140811999,2148.8726270152883,12.0789115534,7.910958852,69.3960157438,5.6158159109,3.70613715,bad
235,70.5219146114,229.6948858688,15.0708640408,6.620153685,71.035686559,4.9742268266,3.2290615114000003,good
236,75.5476535516,,12.727449667,7.5988210065,70.661210017,5.8561366481,3.7350990386,bad
237,80.2358325714,228.0027037296,12.5416528348,7.9428946445,69.3037120984,5.1936410615,,bad
238,85.8187218952,229.7297424144,12.1251240832,8.6140137875,69.2669903512,4.4700138431,3.8246413476,bad
239,78.2835578011,2157.9305973429655,11.885213656,7.9528326765,69.2058208108,4.9287333626,3.4729534304,bad
240,75.6693077624,226.596342728,12.3659611072,7.7439755425,70.888290586,5.7961029005,4.13242521,bad
241,75.7870042599,227.3313440704,14.8060708786,7.6416398235,70.8527590186,4.3357143185,4.3516592336,bad
242,79.9496770864,228.7213096768,10.976798088399999,8.6116432545,69.2084039632,5.090300888,3.4367269546,bad
243,71.3120208372,230.160854328,13.950417994,6.72365639,69.5935750408,5.4137457623,3.6284947582,bad
244,74.7614039515,231.2503950048,14.9981579656,7.1159029715,71.9759425468,3.6016266548,5.0809472476,bad
245,84.7678115253,225.0182441856,11.3199977488,8.076291004,69.2262432112,5.3274639284,3.3955772812,good
246,81.045992959,229.5909337072,12.6581051968,6.748503771,69.036883645,5.8891769612,3.6256650004,good
247,77.1244697665,238.2384004752,12.7647719254,8.8390292625,69.0506810296,3.8386557374,3.783615784,good
248,80.2162406188,227.5880466784,11.7690451426,,70.788887191,5.5805035952,3.3803347916,bad
249,76.1263088743,228.2444032192,13.3198700776,8.2416996245,71.6993799898,5.1001071257,3.513840218,good
250,71.6364298829,,12.888683074,6.422116019,70.910446486,5.7307817369,2.6673005782,bad
251,89.8602864588,229.391436736,13.4044245568,8.3559516585,72.5361729388,4.373596391,4.335499436,good
252,80.183881905,229.0095352816,13.8235962982,6.224122606,69.107145478,5.5739675507,3.0538641306,good
253,74.039850233,230.32626176,14.3877888184,9.200390777500001,67.1281728718,5.3543640254,3.3109613204,bad
254,78.3934465108,232.619073936,12.161524828,7.10374129,68.3043580534,4.9369311866,3.6392038744,good
255,82.3091526272,230.7265200064,12.4535712004,8.419580331,69.2279735494,4.6093736585,3.6680475262,good
256,71.5605861845,227.9069333856,12.6130889662,7.5153751035,70.4462452954,5.9036437799,3.2894714186,bad
257,,235.7652577264,10.603439570199999,6.8004501475,70.4864747902,5.2439600978,3.2651371172,good
258,76.9294599054,229.686076768,11.7126776266,7.0121182425,71.0607160198,4.4783661923,3.4029807226,good
259,77.6812484683,231.1644039952,13.3001274886,7.4705213520000004,71.0321900674,4.5732061508,3.7732570648,bad
260,83.5425700032,230.9053674816,12.2561071984,60.58819446180013,67.7895578314,6.0594277898,3.5840476614,good
261,74.7841625353,228.2320177952,13.7581997524,7.4960390505,70.1963659102,4.8255998354,4.2305414426,bad
262,85.9751862207,229.0104698592,11.8666841728,5.8407793275,71.193043843,5.6513709175999995,4.2883683778,good
263,78.3125919538,2158.3237642045183,12.3113499562,7.031432489,70.2915036664,5.3996565932,,bad
264,80.3377954197,228.192230464,12.8354587684,8.6456786675,67.9578394108,4.6591475933,3.7399639908,bad
265,81.4788534746,231.2001185008,11.736097665399999,7.1252248515,70.7164290112,4.9108620131,3.8676016284,bad
